title,field_address_address_line1,field_address_locality,field_address_administrative_area,field_address_postal_code,field_address_country_code,field_venue_type,field_short_description,field_phone,field_website_uri,field_website_title,field_cuisine,field_claimed_listing,field_image,image_search_hint,field_latitude,field_longitude,field_tags,field_address_line1,field_city,field_state,field_zip,field_country,field_description,field_website,field_source,field_menu_url,field_cta,field_cta_title
"The Med Spa of New Smyrna Beach - New Smyrna Beach","115 N Orange St","New Smyrna Beach","FL","32168","US","Medical Spa","Medical spa offering injectables, facial aesthetics, body treatments, laser services, skincare and medical wellness programs.","386-689-5663","https://themedspansb.com/","The Med Spa of New Smyrna Beach","Medical Spa","0","","The Med Spa of New Smyrna Beach exterior","29.0248085","-80.9257382","medical spa,facials,laser treatments,injectables,wellness","115 N Orange St","New Smyrna Beach","FL","32168","US","The Med Spa of New Smyrna Beach provides physician-led aesthetic and wellness services including injectables, facial treatments, laser procedures, body treatments, skincare and medical weight-loss options for clients across Volusia County.","https://themedspansb.com/","https://themedspansb.com/","https://themedspansb.com/#services","https://themedspansb.com/contact-us/","Schedule a consultation"
"Natural Health Practices - Port Orange","4904 Clyde Morris Blvd Ste A","Port Orange","FL","32129","US","Wellness Center","Port Orange wellness practice offering chiropractic care, massage therapy, nutrition services, infrared sauna, PEMF therapy and other holistic treatments.","386-307-8207","https://www.naturalhealthpractices.com/","Natural Health Practices","Wellness","0","","Natural Health Practices Port Orange exterior","29.1174831","-81.0244613","wellness,chiropractic,massage,infrared sauna,nutrition,holistic health","4904 Clyde Morris Blvd Ste A","Port Orange","FL","32129","US","Natural Health Practices offers chiropractic care, massage therapy, nutrition coaching, infrared sauna, ionic detox, PEMF therapy and related holistic wellness services from its Port Orange office.","https://www.naturalhealthpractices.com/","https://www.naturalhealthpractices.com/specials/","https://www.naturalhealthpractices.com/our-services/","https://www.naturalhealthpractices.com/contact-us/","Request an appointment"
"Massage Envy - Port Orange","5501 S Williamson Blvd Suite 410","Port Orange","FL","32128","US","Massage Therapy","National massage and skincare clinic offering memberships, facials and massage therapy services.","386-788-3689","https://www.massageenvy.com","Massage Envy","Massage Therapy","0","","Massage Envy Port Orange exterior","29.1385","-81.0139","massage,spa,wellness","5501 S Williamson Blvd Suite 410","Port Orange","FL","32128","United States","Massage Envy - Port Orange provides therapeutic massage, stretch and skincare services with recurring member promotions and wellness programs.","https://www.massageenvy.com","Official website","https://www.massageenvy.com","",""
"Smyrna Bowling Center - New Smyrna Beach","1010 Wayne Ave","New Smyrna Beach","FL","32168","US","Bowling Alley","Family bowling center with leagues, open bowling and arcade.","386-428-3261","https://smyrnabowling.com","Smyrna Bowling Center","","0","","Smyrna Bowling Center lanes","29.0318","-80.9345","bowling,family","1010 Wayne Ave","New Smyrna Beach","FL","32168","United States","Local bowling center featuring recurring specials, league play and family entertainment.","https://smyrnabowling.com","Official website","https://smyrnabowling.com","",""
"Daytona Lagoon - Daytona Beach","601 Earl St","Daytona Beach","FL","32118","US","Attraction","Water park and family entertainment center on Daytona Beach.","386-254-5020","https://daytonalagoon.com","Daytona Lagoon","","0","","Daytona Lagoon entrance","29.2317","-81.0095","attraction,family","601 Earl St","Daytona Beach","FL","32118","United States","Daytona Lagoon offers seasonal water attractions, arcade, mini golf, laser tag and promotional admission offers throughout the year.","https://daytonalagoon.com","Official website","https://daytonalagoon.com/tickets","",""
"Pet Paradise - Port Orange","3761 S Nova Rd","Port Orange","FL","32129","US","Pet Grooming","Dog boarding, daycare and grooming facility.","386-761-7662","https://www.petparadise.com","Pet Paradise","","0","","Pet Paradise Port Orange","29.1204","-81.0027","pet grooming,dog daycare","3761 S Nova Rd","Port Orange","FL","32129","United States","Pet Paradise - Port Orange offers grooming, boarding and daycare with introductory offers for new guests.","https://www.petparadise.com","Official website","https://www.petparadise.com","",""
"Escape U - Daytona Beach","604 N Segrave St","Daytona Beach","FL","32114","US","Escape Room","Live escape room attraction with multiple themed rooms.","386-256-4499","https://escapeu.com","Escape U","","0","","Escape U Daytona","29.2170","-81.0377","escape room,entertainment","604 N Segrave St","Daytona Beach","FL","32114","United States","Escape U features themed escape adventures and periodically offers discounts for groups and advance bookings.","https://escapeu.com","Official website","https://escapeu.com/book","",""
"Woof Gang Bakery & Grooming - Ormond Beach","1474 W Granada Blvd Suite 425","Ormond Beach","FL","32174","US","Pet Grooming","Pet grooming salon and specialty pet boutique.","386-673-3647","https://woofgangbakery.com","Woof Gang Bakery","","0","","Woof Gang Ormond Beach","29.2865","-81.1038","pet grooming","1474 W Granada Blvd Suite 425","Ormond Beach","FL","32174","United States","Woof Gang Bakery & Grooming provides professional grooming services and seasonal promotional offers for pet owners.","https://woofgangbakery.com","Official website","https://woofgangbakery.com","",""
"Sport Clips Haircuts - Port Orange","5501 S Williamson Blvd Suite 620","Port Orange","FL","32128","US","Barber Shop","Hair salon specializing in men's and boys' haircuts with online check-in.","386-788-4247","https://sportclips.com","Sport Clips","","0","","Sport Clips Port Orange storefront","29.1386","-81.0141","barber,hair salon","5501 S Williamson Blvd Suite 620","Port Orange","FL","32128","United States","Sport Clips Haircuts - Port Orange provides men's and boys' haircuts, MVP upgrades and recurring promotional offers for new clients.","https://sportclips.com","Official website","https://sportclips.com","",""
"Great Clips - Edgewater","1837 S Ridgewood Ave","Edgewater","FL","32132","US","Hair Salon","Walk-in family hair salon offering online check-in.","386-423-8282","https://www.greatclips.com","Great Clips","","0","","Great Clips Edgewater","28.9743","-80.9046","hair salon","1837 S Ridgewood Ave","Edgewater","FL","32132","United States","Great Clips - Edgewater offers affordable haircuts with online check-in and recurring promotional coupons.","https://www.greatclips.com","Official website","https://www.greatclips.com","",""
